date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:09	4683/4683	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-124b%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-blank.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-blank.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:10	73613/73613	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-11f8d%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-calendar.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-calendar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:10	66548/66548	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-103f4%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-list.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-list.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:10	78746/78746	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-1339a%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-preview.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-preview.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:11	85811/85811	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-14f33%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-edit.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-edit.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:11	83139/83139	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-144c3%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-add.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-invoice-add.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:11	74513/74513	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-12311%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-list.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-list.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:12	86275/86275	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15103%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-account.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-account.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:12	86593/86593	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15241%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-security.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-security.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:13	100213/100213	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-18775%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-billing.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/app-user-view-billing.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
